FirmName, Analyst F Name, Analyst L Name
"Nollenberger Capital Partners","Ann","Poole"
"Stephens Inc.","Ann","Poole"
"Citigroup","Ferat","Ongoren"
"Mackie Research Capital","Bill","Newman"
"Research Capital, Corp.","Bill","Newman"
"A. G. Edwards & Sons, Inc.","Gavin","Duffy"
"Broadpoint Capital","Gavin","Duffy"
"Stephens Inc.","Shane","Diamant"
"H.C. Wainwright & Co., Inc.","Kevin","Degeeter"
"Ladenburg Thalmann & Co.","Kevin","Degeeter"
"Oppenheimer & Co.","Kevin","Degeeter"
"Sandler O'Neill & Partners L.P.","Robert","Greene"
"Credit Suisse","Bryan","Kraft"
"Credit Suisse First Boston","Bryan","Kraft"
"Cross Research","Bryan","Kraft"
"J.P. Morgan","Nancy","Hoch"
"Morgan Stanley","Anil","Agarwal"
"UBS","Grant","Sporre"
"Dutton Associates","David","Soetebier"
"Banc Of America Securities","April","Scee"
"Granite Financial Group","Adam","Noah"
"RBC Capital Markets","Amit","Daryanani"
"Maxim Group","Christopher","Nolan"
"Oppenheimer & Co.","Christopher","Nolan"
"ABN Amro","David","Stanton"
"Canaccord Adams","Matthew","Scalo"
"Canaccord Capital","Matthew","Scalo"
"BB&T Capital Markets","Todd","Vencil"
"Davenport & Co. Of Virginia, Inc.","Todd","Vencil"
"Davenport & Company Llc","Todd","Vencil"
"Sterne, Agee & Leach","Todd","Vencil"
"Jefferies & Co.","Omotayo","Okusanya"
"UBS","Omotayo","Okusanya"
"Friedman, Billings, Ramsey & Co.","Daniel","Ives"
"Canaccord Adams","Scott","Finlay"
"Goldman Sachs","Julian","Zhu"
"Canaccord Adams","Jonathan","Kelcher"
"Canaccord Capital","Jonathan","Kelcher"
"Robert W. Baird & Co., Inc.","Young","Im"
"TD Newcrest","Steven","Green"
"BofA Merrill Lynch","Chen","Luo"
"Wedbush Morgan Securities Inc.","Horacio","Zambrano"
"Morgan, Keegan & Company, Inc.","Brad","Stephens"
"IIIR GROUP","Sumit","Jain"
"Thinkequity Partners","Kirsten","Edwards"
"Garp Research & Securities","Seth","Dadds"
"Garp Research Corporation","Seth","Dadds"
"Needham & Company","Scott","Zeller"
"Morgan Stanley","Richard","Ji"
"Next Generation Equity Research","Patrick","Elgrably"
"Deutsche Bank Securities","Christyan","Malek"
"Banc Of America Securities","Kevin","O'Donoghue"
"Credit Suisse","Michael","Aberman"
"Raymond James","Buck","Horne"
"Raymond James","John","Freeman"
"Kaupthing Bank","Knut","Olstad"
"Goldman Sachs","Simona","Jankowski"
"Banc Of America Securities","Edgar","Roesch"
"Piper Jaffray","Anson","Chan"
"JMP Securities","Ingrid","Ebeling"
"Cohen & Company","John","Moran"
"Cohen Brothers & Co","John","Moran"
"Macquarie Research Equities","John","Moran"
"CJS Securities","Frank","Wooten"
"Prudential","David","Woodburn"
"Fortis Securities LLC","Dan","Barrett"
"China International Capital Corporation","Felix","Ho"
"Dougherty & Company LLC","Raghavan","Sarathy"
"Ferris, Baker Watts, Inc.","Raghavan","Sarathy"
"Muriel Siebert & Company, Inc.","Brian","Prenoveau"
"Fox-Pitt  Kelton","John","Nadel"
"Fox-Pitt Kelton","John","Nadel"
"Sterne, Agee & Leach","John","Nadel"
"Thinkequity Partners","Vinny","Jindal"
"GMP Securities Ltd.","Matt","Fernley"
"Roth Capital Partners LLC","Quinn","Ruddick"
"JMP Securities","John","Hecht"
"Kaupthing Bank","Siri Evjemo","Nysveen"
"Jefferies & Co.","Daniel","Fannon"
"Utendahl Capital Partners, Lp","Seaver","Wang"
"Goldman Sachs","Will","Morgan"
"Needham & Company","Andrew","Spinola"
"When2Trade Group","Anthony","Payne"
"Loewen, Ondaatje Mccutcheon","Gary","Baschuk"
"Raymond James","Gary","Baschuk"
"When2Trade Group","Jose","Gonzalez"
"Sandler O'Neill & Partners L.P.","Tim","O'Brien"
"Friedman, Billings, Ramsey & Co.","Jeff","Palmer"
"RBC Capital Markets","Jason","Bouvier"
"William Blair & Company, L.L.C.","Ralph","Schackart"
"Thinkequity Llc","Michael","Huang"
"Thinkpanmure Llc","Michael","Huang"
"WR Hambrecht + Co","Karen","Haus"
"Newbridge Securities Corp.","Andrew","Braswell"
"Thomas Weisel Partners","Pauline","Reader"
"Dnb NOR Markets","Hans","Mahler"
"Goldman Sachs","Elizabeth","Grausam"
"CIBC World Markets","Edward","Yang"
"Oppenheimer & Co.","Edward","Yang"
"Keybanc Capital Mkts/Mcdonald","Daniel","Moore"
"William Blair & Company, L.L.C.","John","Murphy"
"Wedbush Morgan Securities Inc.","Edward","Woo"
"First Global Stockbroking Ltd.","Salil","Utagi"
"Citigroup","Tony","Tsang"
"Investec","Chris","Dyett"
"Sanders Morris Harris","Robert","Lane"
"Smh Capital","Robert","Lane"
"UBS","Donald","Hooker"
"B. Riley & Company, Inc.","Michael","Cody"
"CIMB-GK","Glenford","Tan"
"J.P. Morgan","Shawn","Webster"
"Macquarie Research Equities","Shawn","Webster"
"Cantor Fitzgerald","George","Zavoico"
"Mcnicoll, Lewis, & Vlak","George","Zavoico"
"McNicoll, Lewis, & Vlak","George","Zavoico"
"Scotia Capital","Alec","Kodatsky"
"UBS","Alec","Kodatsky"
"Bear Stearns","D Scott","Goldman"
"Bear Stearns","Scott","Goldman"
"Robert W. Baird & Co., Inc.","Quintin","Lai"
"Bear Stearns","Kerstin","Ramstrom"
"Robert W. Baird & Co., Inc.","Jeff","Elliott"
"UBS","Jeff","Elliott"
"UBS","Robert Jeffery","Elliott"
"William Blair & Company, L.L.C.","John","Neff"
"Stonegate Securities Inc.","Dunny","Wanstrath"
"Roth Capital Partners LLC","Jay","Srivatsa"
"Keefe, Bruyette & Woods","Damon","Delmonte"
"Keefe, Bruyette & Woods, Inc.","Damon","Delmonte"
"Desjardins Securities","Adam","Zive"
"Morgan, Keegan & Company, Inc.","Destin","Tompkins"
"Barclays Capital","Michael","Lasser"
"Ftn Midwest Securities Corp.","James","Hardiman"
"Longbow Research","James","Hardiman"
"Argus Research Company","Martha","Freitag"
"Argus Research Corp.","Martha","Freitag"
"Loewen, Ondaatje, Mccutcheon","Geoffery","Houlton"
"Octagon Capital Corporation","Geoffery","Houlton"
"First Global Stockbroking Ltd.","Sangameswar","Iyer"
"Clarus Securities","Victor","Rodberg"
"Dundee Securities Corporation","Victor","Rodberg"
"C.E. Unterberg, Towbin","Tian","Hou"
"Pali Research","Tian","Hou"
"Needham & Company","George","Fulop"
"Scotia Capital","John","Maletic"
"Friedman, Billings, Ramsey & Co.","Gustavo","Sarago"
"Piper Jaffray","Amit","Kapur"
"Goldman Sachs","Marc","Irizarry"
"CLSA","Andrew","Driscoll"
"BMO Capital Markets","Nawojka","Wachowiak"
"Genuity Capital Markets","Nawojka","Wachowiak"
"HSBC","Nawojka","Wachowiak"
"Canaccord Adams","Chris","Rankin"
"JMP Securities","J T","Haresco"
"JMP Securities","J.","Haresco"
"Brean Murray, Carret & Co.","Jose","Haresco"
"Merriman Curhan Ford & Co.","Jose","Haresco"
"Ferris, Baker Watts, Inc.","Alejandra","Gonzalez"
"Noble Financial Group","Jolene","Furdek"
"Thinkequity Partners","David","Edwards"
"Deutsche Bank Securities","David","Weiner"
"Next Generation Equity Research","Ned","Borland"
"Deutsche Bank Securities","Justin","Yagerman"
"Wachovia Capital Markets, Llc","Justin","Yagerman"
"Wachovia Securities","Justin","Yagerman"
"Raymond James","Andy","Nasr"
"Cheuvreux","Raoudha","Bouzekri"
"Dutton Associates","Richard","Wolfe"
"J.P. Morgan","Brannon","Cook"
"Pareto/Nordic Partners","Thomas","Nielsen"
"J.P. Morgan","Marco","Villegas"
"Garp Research & Securities","George","Sakellaris"
"Garp Research Corporation","George","Sakellaris"
"JMP Securities","William","Morrison"
"Thinkequity Partners","William","Morrison"
"Pacific Growth Equities","John","Duncan"
"Goldman Sachs","Lale","Topcuoglu"
"Goldman Sachs","Christopher","Sailer"
"JMP Securities","Mark","Harding"
"Maxim Group","Mark","Harding"
"Susquehanna Financial Group","C Ming","Zhao"
"Susquehanna Financial Group","Chunming","Zhao"
"LEADER & CO. INVESTMENT HOUSE","Eran","Jacoby"
"Leader Capital Markets","Eran","Jacoby"
"Oppenheimer & Co.","Pamela","Quintiliano"
"Cormark Securities Inc.","Justin","Reid"
"Robert W. Baird & Co., Inc.","David","Koning"
"Goldman Sachs","Andrew","Sawyer"
"Stonegate Securities Inc.","Laura","Engel"
"Panmure Gordon & Co. Limited","Nick","Ward"
"Wachovia Securities","Matthew","Perry"
"Pacific Growth Equities","Michael","Horwitz"
"Robert W. Baird & Co., Inc.","Michael","Horwitz"
"Stanford Group Company","Michael","Horwitz"
"DnB Nor Markets","Martin","Karlsen"
"First Global Stockbroking Ltd.","Lalit","Raj"
"J.P. Morgan","Boris","Kan"
"JPMorgan","Boris","Kan"
"UBS","Stephen","Maresca"
"Barclays","Ephrem","Ravi"
"Suntrust Robinson Humphrey","Carl","Drake"
"Sandler O'Neill & Partners L.P.","Frank","Schiraldi"
"A. G. Edwards & Sons, Inc.","Christopher","Kotowicz"
"Thinkequity Llc","Eric","Kainer"
"Thinkequity Partners","Eric","Kainer"
"Thinkpanmure Llc","Eric","Kainer"
"BAS-ML","Eric","Hagen"
"First Albany Corp.","Eric","Hagen"
"Lazard Capital Markets","Eric","Hagen"
"Merrill Lynch","Eric","Hagen"
"UBS","Meredith","Love Kent"
"Keefe, Bruyette & Woods","Bose","George"
"Keefe, Bruyette & Woods, Inc.","Bose","George"
"Fortis Bank","David","Garrett"
"Fortis Securities LLC","David","Garrett"
"Fortis Bank","Patrick","Moriarty"
"Fortis Securities LLC","Patrick","Moriarty"
"Tejas Securities Group, Inc.","Chris","Roberts"
"UBS","Nik","Modi"
"Citi","Eric","Lau"
"Tejas Securities Group, Inc.","Robert","Halder"
"UBS","Kaumil","Gajrawala"
"J.P. Morgan","Andre","Baggio"
"JPMorgan","Andre","Baggio"
"Accountability Research Corporation","Blair","Carey"
"Tejas Securities Group, Inc.","Patrick","Forkin"
"Flagstone Securities","Chris","Faems"
"C.K. Cooper & Company","Brian","Samuels"
"Simmons & Company International","Brian","Gamble"
"JMP Securities","Kevane","Wong"
"Credit Suisse First Boston","Matthew","Gardner"
"Desjardins Securities","Benoit","Poirier"
"First Global Stockbroking Ltd.","Niral","Dalal"
"Desjardins Securities","Maher","Yaghi"
"Carnegie Investment Bank Ab","Mikael","Loefdahl"
"Macquarie Research Equities","Cristina","Lopez"
"Tristone Capital Inc","Cristina","Lopez"
"Research Capital, Corp.","Nick","Agostino"
"Johnson Rice & Company","Kenneth","Carroll"
"OSK/DMG Partners","Sem Guan","Ng"
"HSBC","Lauren","Torres"
"Daiwa","Helen","Lau"
"UOB Kay Hian","Helen","Lau"
"Fox-Pitt Kelton","Matthew","Howlett"
"Dawson James Securities","Harish","Aiyar"
"BofA Merrill Lynch","Denise","Chai"
"Oppenheimer & Co.","James","Molloy"
"Thinkequity Llc","James","Molloy"
"Deutsche Bank Securities","Ross","Muken"
"DBS Vickers","James","Tan"
"WR Hambrecht + Co","Ray","Kukreja"
"Cochran Caronia Waller","P Jay","Fortner"
"Bear Stearns","Bryan","Goldberg"
"J.P. Morgan","Bryan","Goldberg"
"Deutsche Bank Securities","Hari","Chandra"
"Raymond James","Darren","Horowitz"
"UBS","Robert","Dennison"
"Keefe, Bruyette & Woods","Sanjay","Sakhrani"
"Keefe, Bruyette & Woods, Inc.","Sanjay","Sakhrani"
"Ferris, Baker Watts, Inc.","Shiv","Kapoor"
"Montgomery & Co.","Shiv","Kapoor"
"Morgan Joseph & Co Inc","Shiv","Kapoor"
"Morgan Joseph Triartisan","Shiv","Kapoor"
"Goldman Sachs","Marje","Soova"
"BB&T Capital Markets","K Newton","Juhng"
"BB&T Capital Markets","Kyungho Newton","Juhng"
"Stanford Financial Group","Trey","Cowan"
"Friedman, Billings, Ramsey & Co.","Jeff","Sonnek"
"Merrill Lynch","Hakan","Ipekci"
"Roth Capital Partners LLC","Parham","Ghorban"
"Erste Bank","Artur","Iwanski"
"Pacific Growth Equities","Derrick","Wood"
"Wedbush Morgan Securities Inc.","Derrick","Wood"
"Fearnley Fonds","Morten","Nystrom"
"McAdams Wright Ragen","Sara","Hasan"
"Edison Investment Research","Robin","Davison"
"Edison Investment Research","Jane","Anscombe"
"Numis Securities","Richard","Gradidge"
"Suntrust Robinson Humphrey","Andy","Borrmann"
"Credit Suisse","Ralph","Profiti"
"BofA Merrill Lynch","Billy","Ng"
"Credit Suisse","Ralph","Giacobbe"
"Goldman Sachs","Joy","Yuan"
"KGI Securities","Crane","Ni"
"Macquarie Research Equities","Sophie","Spartalis"
"Credit Suisse","Omar","Saad"
"Credit Suisse First Boston","Omar","Saad"
"ISI Group","Omar","Saad"
"Wachovia Securities","Dori","Prowda"
"First Securities Asa","Jan Magne","Galaen"
"ODDO Securities","Harold","Decker"
"Pareto Securities AS","Thomas","Aarrestad"
"Pareto/Nordic Partners","Thomas","Aarrestad"
"Caris & Company","Christopher","Warren"
"Friedman, Billings, Ramsey & Co.","Christopher","Warren"
"Janney Montgomery Scott LLC","Christopher","Warren"
"Suntrust Robinson Humphrey","Christopher","Warren"
"Dundee Securities Corporation","Arinder","Mahal"
"Bear Stearns","Antonio","Antezano"
"BMO Capital Markets","Richard","Anderson"
"Alembic Global Advisors","Hassan","Ahmed"
"HSBC","Hassan","Ahmed"
"Keefe, Bruyette & Woods","Dean","Evans"
"Keefe, Bruyette & Woods, Inc.","Dean","Evans"
"Swedbank Securities","Hakan","Wranne"
"BMO Capital Markets","Andrew","Kaip"
"Haywood Securities","Andrew","Kaip"
"Bear Stearns","Ben","Radinsky"
"One-On-One Research","Dawn","Talbot"
"Soleil-One-On-One Research","Dawn","Talbot"
"Keybanc Capital Markets","Anurag","Rana"
"Keybanc Capital Mkts","Anurag","Rana"
"Keybanc Capital Mkts/Mcdonald","Anurag","Rana"
"Salman Partners Inc.","Ryan","Males"
"J.P. Morgan","Kimberly","Watkins"
"E.L. & C. Baillieu Stockbroking Ltd.","Ross","Macmillan"
"Pareto/Nordic Partners","Fredrik","Falch"
"Davenport & Company Llc","Clint","Fendley"
"Davenport & Co. Of Virginia, Inc.","Clinton","Fendley"
"Davenport & Company Llc","Clinton","Fendley"
"Fearnley Fonds","Rikard","Vabo"
"Fearnley Fonds","Truls","Olsen"
"CIBC World Markets","Ian","Macqueen"
"Macquarie Research Equities","Ian","Macqueen"
"Noble Financial Group","Elizabeth","Alexander"
"Morgan Stanley","Daniel","Wakerly"
"Americas Growth Capital","Heather","O'Loughlin"
"Daiwa","Felix","Lam"
"A. G. Edwards & Sons, Inc.","Paul","Hamilos"
"Goldman Sachs","Patrick","Archambault"
"Goldman Sachs","Lori","Scherwin"
"J.P. Morgan","Steven","O'Brien"
"JPMorgan","Steven","O'Brien"
"Barrington Research","Charley","Jones"
"Next Generation Equity Research","Charley","Jones"
"Next Generation Equity Research","R.","Hottovy"
"Next Generation Equity Research","Ronald","Hottovy"
"Maxim Group","Matthew","Weiss"
"Citi","Keith","Walsh"
"Citigroup","Keith","Walsh"
"Rodman & Renshaw Llc","Ilya","Kravets"
"Sanders Morris Harris","Will","Hamilton"
"Smh Capital","Will","Hamilton"
"FBR Capital Markets & Co.","Wilkes","Graham"
"Friedman, Billings, Ramsey & Co.","Wilkes","Graham"
"Stephens Inc.","Stephen","Ferranti"
"Deutsche Bank Securities","Rohan","Pai"
"UBS","Shalini","Mahajan"
"Macquarie Research Equities","Jonathan","Groberg"
"BofA Merrill Lynch","Olivia","Tong"
"Merrill Lynch","Olivia","Tong"
"Goldman Sachs","Daniel","Harris"
"Dr. Kalliwoda Research","Norbert","Kalliwoda"
"J.P. Morgan","Juan","Partida"
"Goldman Sachs","Sal","Tharani"
"Atlantic Equities","Richard","Purkiss"
"Oppenheimer & Co.","Glen","Losev"
"Capital One Southcoast, Inc.","Marshall","Carver"
"PICKERING ENERGY PARTNERS, INC.","Marshall","Carver"
"Tudor Pickering & Co. Sec","Marshall","Carver"
"PICKERING ENERGY PARTNERS, INC.","Stacy","Nieuwoudt"
"Tudor Pickering & Co. Sec","Stacy","Nieuwoudt"
"Wachovia Capital Markets, Llc","Lyn","Walther"
"Wachovia Securities","Lyn","Walther"
"Argus Research Corp.","Tom","Mongan"
"Deutsche Bank Securities","Christopher","Mammone"
"Wellington West Cm","Jason","Squires"
"UBS","Avaneesh","Acquilla"
"Nordea Markets","Stefan","Gauffin"
"Roth Capital Partners LLC","Joshua","Jabs"
"J.P. Morgan","Atif A","Rahim"
"J.P. Morgan","Taylor","Harris"
"Avondale Partners LLC","Molly","Gerber"
"Montgomery & Co.","Erik","Rasmussen"
"Pacific Growth Equities","Erik","Rasmussen"
"J.P. Morgan","Mario","Kontomerkos"
"CIBC World Markets","Gary","Hsueh"
"Oppenheimer & Co.","Gary","Hsueh"
"Bear Stearns","Christopher","Horvers"
"J.P. Morgan","Christopher","Horvers"
"Pareto/Nordic Partners","Frode","Morkedal"
"RS Platou Markets","Frode","Morkedal"
"Jefferies & Co.","Biren","Amin"
"Stanford Financial Group","Biren","Amin"
"Stanford Group Company","Biren","Amin"
"ESN Partnership","Edwin","De Jong"
"Goldman Sachs","James","Fotheringham"
"Citigroup","Charmaine","Tang"
"Needham & Company","Jonathan","Maietta"
"McGinn Smith & Co., Inc.","Michael","Boylan"
"Barclays Capital","Brian","Johnson"
"Cleveland Research Company","Adam","Uhlman"
"Deutsche Bank Securities","Brian","Thackray"
"Kaufman Bros.","Sooann","Roberts"
"Cazenove","Rae","Maile"
"Cazenove & Co","Rae","Maile"
"JPMorgan","Rae","Maile"
"Carnegie Investment Bank Ab","Marius","Gaard"
"Dundee Securities Corporation","Michael","Collison"
"Genuity Capital Markets","Michael","Gray"
"Goldman Sachs","Michelle","Tan"
"UBS","Michelle","Tan"
"Pacific Crest Securities","Andy","Hargreaves"
"Credit Suisse","Anita","Soni"
"Merrill Lynch","Anita","Soni"
"Deutsche Bank Securities","Michael","Carrier"
"UBS","Mike","Carrier"
"Investec","Rebecca","O'Dwyer"
"Natexis Bleichroeder","Joshua","Zable"
"Natixis Bleichroeder","Joshua","Zable"
"WJB Capital Group, Inc.","Joshua","Zable"
"ODDO Securities","Nicolas","Jacob"
"Jefferies & Co.","Jeff","Farmer"
"Wells Fargo Securities, Llc","Jeff","Farmer"
"CIBC World Markets","Jeffrey","Farmer"
"Jefferies & Co.","Jeffrey","Farmer"
"Fraser Mackenzie Ltd.","Peter","Prattas"
"Bear Stearns","Kamaldeep","Manaktala"
"Smh Capital","David","Lebowitz"
"Ftn Midwest Securities Corp.","William","Keller"
"Macquarie Research Equities","Chris","Feltin"
"Tristone Capital Inc","Chris","Feltin"
"Robert W. Baird & Co., Inc.","David","Parker"
"Leerink Swann","William","Sawyer"
"Goldman Sachs","Joshua","Carter"
"Calyon Securities (USA) Inc.","Christopher","Spahr"
"Deutsche Bank Securities","Christopher","Spahr"
"Deutsche Bank Securities","Pranay","Laharia"
"Wolverton Securities Ltd.","Aminul","Haque"
"Dnb NOR Markets","Einar","Evensen"
"DnB Nor Markets","Einar","Evensen"
"A. G. Edwards & Sons, Inc.","Denise","Garcia"
"WR Hambrecht + Co","Denise","Garcia"
"CIMB Research","Raymond","Yap"
"Leerink Swann","Seamus","Fernandez"
"Leerink Swann Llc","Seamus","Fernandez"
"Hargreave Hale Ltd","Sacha","Borthwick"
"Piper Jaffray","Steven","Truong"
"Bear Stearns","Kunal","Madhukar"
"Soleil-Hudson Square Research","Scott","Tilghman"
"Goldsmith & Harris","Chris","Gardner"
"Carnegie Investment Bank Ab","Stian","Eliassen"
"Blackmont Capital","Roy","Ma"
"Pi Financial Corp.","Roy","Ma"
"Dnb NOR Markets","Glenn","Lodden"
"DnB Nor Markets","Glenn","Lodden"
"Industrial Alliance Securities, Inc.","Daniel","Lavoie"
"Pareto/Nordic Partners","Rolf","Kristiansen"
"Credit Suisse","Jinsong","Du"
"First Global Stockbroking Ltd.","Amitabh","Goel"
"Oppenheimer & Co.","Richard","Sbaschnig"
"JMP Securities","Alex","Barron"
"Langen McAlenney","Paul","Howard"
"Mizuho Securities USA","Michael","Nelson"
"Stanford Financial Group","Michael","Nelson"
"Stanford Group Company","Michael","Nelson"
"Panmure Gordon & Co. Limited","Nick","James"
"CIBC World Markets","Niamh","Alexander"
"Keefe, Bruyette & Woods","Niamh","Alexander"
"Canaccord Adams","Stephen","Colbert"
"Credit Suisse","Jeremy","Davis"
"Credit Suisse First Boston","Jeremy","Davis"
"Johnson Rice & Company","Jill","Caruthers"
"Johnson Rice & Company","Jillian","Caruthers"
"William Blair & Company, L.L.C.","Jon","Andersen"
"BofA Merrill Lynch","James","Feldman"
"UBS","James","Feldman"
"Bear Stearns","Ken","Goldman"
"J.P. Morgan","Ken","Goldman"
"Pacific Growth Equities","Nathaniel","Cornell"
"BHF-Bank","Tobias","Loskamp"
"Kepler Capital Markets","Tobias","Loskamp"
"Canaccord Adams","Domenic","Lacava"
"Infinium Capital Corp.","Gil","Aharon"
"CIBC World Markets","Malindi","Davies"
"Susquehanna Financial Group","Malindi","Davies"
"Keefe, Bruyette & Woods","Robert","Farnam"
"Keefe, Bruyette & Woods, Inc.","Robert","Farnam"
"Miller Tabak & Co., Llc","Les","Funtleyder"
"Jefferies & Co.","David","Adams"
"BAS-ML","Alejandro","Demichelis"
"Dahlman Rose & Co.","Omar","Nokta"
"Deutsche Bank Securities","Chris","Woronka"
"Caris & Company","Jason","Kremer"
"Stifel Nicolaus & Company, Inc.","John","Wallace"
"Ftn Midwest Securities Corp.","Marko","Vucenovic"
"Kaupthing Bank","Benjamin","Nordin"
"Atlantic Equities","Vasavi","Vittal"
"Ferris, Baker Watts, Inc.","Mark","Donohue"
"Thomas Weisel International","Vijay","Sarathi"
"Northland Sec","Darren","Aftahi"
"Thinkequity Partners","Darren","Aftahi"
"Thinkpanmure Llc","Darren","Aftahi"
"Ryan Beck & Co.","Megan","Malanga"
"Stanford Group Company","Megan","Malanga"
"Stifel Nicolaus & Company, Inc.","Megan","Malanga"
"Wachovia Securities","Angela","Ho"
"Avondale Partners LLC","Derrick","Dagnan"
"Banc Of America Securities","Philippe","Lanier"
"Roth Capital Partners LLC","Matt","Dolan"
"Avondale Partners LLC","Daniel","Mannes"
"UBS","Jason","Feldman"
"B. Riley & Company, Inc.","Salomon","Kamalodine"
"J.P. Morgan","Nicole","Edgecombe"
"SG Securities","Emmanuelle","Cales"
"Piper Jaffray","Kevin","Ellich"
"RBC Capital Markets","Kevin","Ellich"
"CIBC World Markets","Jeff","Osborne"
"Thomas Weisel Partners","Jeff","Osborne"
"China International Capital Corporation","Hongyu","Cai"
"Goldman Sachs","Hongyu","Cai"
"Citi","Anindya","Mohinta"
"J.P. Morgan","Anindya","Mohinta"
"Credit Suisse First Boston","Satya","Kumar"
"BofA Merrill Lynch","Oscar","Cabrera"
"Goldman Sachs","Oscar","Cabrera"
"Keybanc Capital Markets","Steve","Barger"
"Keybanc Capital Mkts","Steve","Barger"
"Keybanc Capital Mkts/Mcdonald","Steve","Barger"
"Credit Suisse","Jeff","Loff"
"Barclays","Alicia","Yap"
"Barclays Capital","Alicia","Yap"
"Citigroup","Alicia","Yap"
"Sturdivant & Co","Darron","Carpenter"
"Swedbank Securities","Niclas","Hoglund"
"Roth Capital Partners LLC","Mark","Tobin"
"Capital One Southcoast, Inc.","Richard","Moorman"
"Janney Montgomery Scott LLC","Joe","Foresi"
"Credit Suisse","Michael","Chan"
"RBC Capital Markets","Mike","Salinsky"
"Raymond James","Pavel","Molchanov"
"RBC Capital Markets","Stephen","Ju"
"Morgan, Keegan & Company, Inc.","Keith","Johnson"
"Bear Stearns","Frank","Boroch"
"Raymond James","Bart","Jaworski"
"Bear Stearns","Michael","Geoghegan"
"Stifel Nicolaus & Company, Inc.","David","Ross"
"Thinkequity Partners","Stephan","Ogilvie"
"Thinkpanmure Llc","Stephan","Ogilvie"
"Wedbush Morgan Securities Inc.","James","Ko"
"Stifel Nicolaus & Company, Inc.","Blake","Fischer"
"Argus Research Company","William","Eddleman"
"Argus Research Corp.","William","Eddleman"
"Piper Jaffray","Michael","Olson"
"Bear Stearns","Randal","Konik"
"Jefferies & Co.","Randal","Konik"
"UBS","Steve","Eliscu"
"Dahlman Rose & Co.","Anthony","Young"
"Credit Suisse","Carlos","Gomez-Ramos"
"Credit Suisse","Carlos","Ramos"
"BofA Merrill Lynch","Erika","Penala"
"Merrill Lynch","Erika","Penala"
"Fox-Pitt Kelton","Amit","Kumar"
"M Partners Inc.","Michael","Krestell"
"Dundee Securities Corporation","Grant","Daunheimer"
"M Partners Inc.","Lawrence","Casse"
"CIBC World Markets","Yair","Reiner"
"Oppenheimer & Co.","Yair","Reiner"
"Broadpoint Capital","Hugh","Mai"
"First Albany Corp.","Hugh","Mai"
"JMP Securities","Constantine","Davides"
"Susquehanna Financial Group","Constantine","Davides"
"Macquarie Research Equities","Corinne","Jian"
"J.P. Morgan","William","Georges"
"Deutsche Bank Securities","Gregg","Genova"
"McAdams Wright Ragen","Mike","Roarke"
"Macquarie Research Equities","Sumit","Malhotra"
"Merrill Lynch","Sumit","Malhotra"
"J.P. Morgan","Rajeev","Lalwani"
"J.P. Morgan","Amy","Nam"
"CLSA","Charles","Yonts"
"Boenning & Scattergood Inc","Ryan","Connors"
"Piper Jaffray","Joshua","Elving"
"American Technology Research","Tim","Boyd"
"Caris & Company","Tim","Boyd"
"Genuity Capital Markets","Jamie","Somerville"
"Dutton Associates","Stanley","Ng"
"Goldman Sachs Jb Were","David","Roberts"
"Deutsche Bank Securities","Tatiana","Kapustina"
"Handelsbanken Capital Markets","Lars","Hallstrom"
"Coker & Palmer Inc.","Brian","Corales"
"Canaccord Genuity","Nicholas","Campbell"
"Evolution Securities","Gavin","Wood"
"Oscar Gruss & Son","Justin","Lumiere"
"Thomas Weisel International","Ruchir","Lahoty"
"Sandler O'Neill & Partners L.P.","Daniel","Arnold"
"BofA Merrill Lynch","Peter","Ogden"
"National Bank Financial","Peter","Ogden"
"Soleil - Neponset Equity Research, Inc.","Matt","Renna"
"Susquehanna Financial Group","James","Friedman"
"National Bank Financial","Steve","Parsons"
"Deutsche Bank Securities","Phyllis","Wang"
"Paradigm Capital Inc.","Rebecca","Morley"
"Calyon Securities (USA) Inc.","Salvatore","Vitale"
"Sterne, Agee & Leach","Salvatore","Vitale"
"Bear Stearns","Westcott","Rochette"
"Canaccord Adams","Orest","Wowkodaw"
"Dowling & Partners Securities, LLC","Julia","Ferguson"
"Goldman Sachs","Richard","Safran"
"KBC Securities","Tomas","Gatek"
"J.P. Morgan","Seth","Tennant"
"Sandler O'Neill & Partners L.P.","Michael","Taiano"
"JMP Securities","Denny","Fish"
"Scotia Capital","Mario","Saric"
"Scotiabank GBM","Mario","Saric"
"Monness, Crespi, Hardt & Co., Inc.","Manish","Vora"
"Banc Of America Securities","Marshall","Reid"
"Managesource Research, Inc.","Douglas","Rogers"
"Fearnley Fonds","Lars","Nilsen"
"Citi","Richard","Roy"
"Citigroup","Richard","Roy"
"Cormark Securities Inc.","Jeff","Mochoruk"
"Robert W. Baird & Co., Inc.","Amy","Junker"
"Citigroup","Michael","Genovese"
"MKM Partners LLC","Michael","Genovese"
"Goldman Sachs","Alejandro","Alvarez"
"Stifel Nicolaus & Company, Inc.","Oliver","Wood"
"Fortis Securities LLC","Biju","Perincheril"
"Goldman Sachs","Alexander","Balakhnin"
"Ferris, Baker Watts, Inc.","John","Rogers"
"Janney Montgomery Scott LLC","John","Rogers"
"Ferris, Baker Watts, Inc.","Michelle","Ha"
"Bear Stearns","Miguel","Garcia"
"Brean Murray, Carret & Co.","Kenny","Tong"
"Janney Montgomery Scott LLC","Nick","Andrewes"
