FirmName, Analyst F Name, Analyst L Name
"Danske Markets","Endre","Storlokken"
"D. A. Davidson & Co.","Reed","Anderson"
"D. A. Davidson & Co.","James","Bellessa"
"D. A. Davidson & Co.","Andrew","Burns"
"D. A. Davidson & Co.","Steven","Chercover"
"D. A. Davidson & Co.","Thomas","Diffely"
"D. A. Davidson & Co.","Bart","Glenn"
"D. A. Davidson & Co.","J","Groh"
"D. A. Davidson & Co.","Donna","Jaegers"
"D. A. Davidson & Co.","Avinash","Kant"
"D. A. Davidson & Co.","John","Kraft"
"D. A. Davidson & Co.","Timothy","Ramey"
"D. A. Davidson & Co.","John","Rogers"
"D. A. Davidson & Co.","Jeff","Rulis"
"D. A. Davidson & Co.","Aalok","Shah"
"D. A. Davidson & Co.","Gary","Tenner"
"D. A. Davidson & Co.","Brent","Thielman"
"Thompson, Davis, & Co.","David","Campbell"
"Dundee Securities Corporation","Paul","Burchell"
"Dundee Securities Corporation","Rodney","Cooper"
"Dundee Securities Corporation","Brad","Cutsey"
"Dundee Securities Corporation","Grant","Daunheimer"
"Dundee Securities Corporation","Carolyn","Dennis"
"Dundee Securities Corporation","Richard","Kelertas"
"Dundee Securities Corporation","Alex","Klein"
"Dundee Securities Corporation","Ron","Stewart"
"Dundee Securities Corporation","David","Talbot"
"Dundee Securities Corporation","Travis","Wood"
"Dnb NOR Markets","David","Aubert"
"Dnb NOR Markets","Klaus","Hatlebrekke"
"Dnb NOR Markets","Espen","Jorgensen"
"Dnb NOR Markets","Martin","Karlsen"
"Dnb NOR Markets","Glenn","Lodden"
"Dnb NOR Markets","Thor","Lunder"
"Dnb NOR Markets","Hans","Mahler"
"Dnb NOR Markets","Henrik","With"
"Dowling & Partners Securities, LLC","Joe","Christiana"
"Dowling & Partners Securities, LLC","Geoffrey","Dunn"
"Dowling & Partners Securities, LLC","Michael","Fentin"
"Dowling & Partners Securities, LLC","Julia","Ferguson"
"Dowling & Partners Securities, LLC","Sushil","Garg"
"Dowling & Partners Securities, LLC","Paul","Goulekas"
"Dowling & Partners Securities, LLC","Kyle","Labarre"
"Dowling & Partners Securities, LLC","Gary","Ransom"
"Dowling & Partners Securities, LLC","Sean","Rourke"
"Dowling & Partners Securities, LLC","Brenna","Sullivan"
"SEB Enskilda","Stefan","Andersson"
"SEB Enskilda","Terje","Fatnes"
"SEB Enskilda","Andreas","Joelsson"
"SEB Enskilda","Ole","Stenhagen"
"E.L. & C. Baillieu Stockbroking Ltd.","Ray","Chantry"
"Berenberg Bank","Adnaan","Ahmad"
"Berenberg Bank","Erik","Bloomquist"
"Berenberg Bank","Stuart","Gordon"
"Berenberg Bank","Jonathan","Helliwell"
"Berenberg Bank","Ali","Khwaja"
"Berenberg Bank","Seth","Peterson"
"Renaissance BJM","Rey","Wium"
"China Everbright Financial Holdings Ltd.","Kevin","Tam"
"Erste Bank","Radim","Kramule"
"Oppenheimer & Co.","Joseph","Altobello"
"Oppenheimer & Co.","Bernard","Colson"
"Oppenheimer & Co.","Shaul","Eyal"
"Oppenheimer & Co.","David","Ferreiro"
"Oppenheimer & Co.","Fadel","Gheit"
"Oppenheimer & Co.","Christopher","Glynn"
"Oppenheimer & Co.","Glenn","Greene"
"Oppenheimer & Co.","Noah","Harris"
"Oppenheimer & Co.","Jason","Helfstein"
"Oppenheimer & Co.","Manish","Hemrajani"
"Oppenheimer & Co.","Bret","Holley"
"Oppenheimer & Co.","Christopher","Holterhoff"
"Oppenheimer & Co.","Tim","Horan"
"Oppenheimer & Co.","Ella","Ji"
"Oppenheimer & Co.","Bret","Jones"
"Oppenheimer & Co.","Ed","Keller"
"Oppenheimer & Co.","Paul","Keung"
"Oppenheimer & Co.","Ittai","Kidron"
"Oppenheimer & Co.","Chris","Kotowski"
"Oppenheimer & Co.","Steven","Lichtman"
"Oppenheimer & Co.","Katherine","Lu"
"Oppenheimer & Co.","Terry","Mcevoy"
"Oppenheimer & Co.","Daniel","Morris"
"Oppenheimer & Co.","Brian","Nagel"
"Oppenheimer & Co.","Pamela","Quintiliano"
"Oppenheimer & Co.","Brad","Reback"
"Oppenheimer & Co.","Yair","Reiner"
"Oppenheimer & Co.","Rick","Schafer"
"Oppenheimer & Co.","Scott","Schneeberger"
"Oppenheimer & Co.","Michael","Wiederhorn"
"Oppenheimer & Co.","Christopher","Wiggins"
"Oppenheimer & Co.","Edward","Yang"
"Oppenheimer & Co.","Andy","Yeung"
"Oppenheimer & Co.","Ian, Transportation Infrastructure,,","Zaffino"
"Evli Bank","Magnus","Axen"
"Evli Bank","Marcus","Neckmar"
"Exane BNP Paribas","Steve","Babureck"
"Exane BNP Paribas","Andrea","Beneventi"
"Exane BNP Paribas","Sylvain","Brunet"
"Exane BNP Paribas","Justine","Dimovic"
"Exane BNP Paribas","Sami","Kassab"
"Exane BNP Paribas","Alexander","Peterc"
"Exane BNP Paribas","Antoine","Pradayrol"
"Exane BNP Paribas","Jerome","Ramel"
"Exane BNP Paribas","Michael","Williams"
"First Global Stockbroking Ltd.","Amit","Chandra"
"First Global Stockbroking Ltd.","Ritesh","Doshi"
"First Global Stockbroking Ltd.","Amitabh","Goel"
"First Global Stockbroking Ltd.","Mahantesh","Marilinga"
"First Global Stockbroking Ltd.","Devina","Mehra"
"First Global Stockbroking Ltd.","Kavita","Thomas"
"First Global Stockbroking Ltd.","Ishansh","Vij"
"First Securities Asa","Paal","Dahl"
"First Securities Asa","Peter","Hermanrud"
"First Securities Asa","Erik","Jensen"
"First Securities Asa","Bjorn","Knutsen"
"First Securities Asa","Stig","Kyrkjeeide"
"First Securities Asa","Teodor","Nilsen"
"First Securities Asa","Sondre","Stormyr"
"First Securities Asa","Bjorn","Thoresen"
"FirstEnergy Capital","Jill","Angevine"
"FirstEnergy Capital","Gerry","Donnelly"
"FirstEnergy Capital","Michael","Dunn"
"FirstEnergy Capital","Darren","Engels"
"FirstEnergy Capital","Robert","Fitzmartyn"
"FirstEnergy Capital","Stephane","Foucaud"
"FirstEnergy Capital","Cody","Kwong"
"FirstEnergy Capital","Kevin","Lo"
"FirstEnergy Capital","Martin","Molyneaux"
"FirstEnergy Capital","Steven","Paget"
"Jyske Bank","Robert","Jakobsen"
"Daiwa","Peter","Chu"
"Daiwa","Gavin","Ho"
"Daiwa","Ole","Hui"
"Daiwa","Felix","Lam"
"Daiwa","Alexander","Latzer"
"Daiwa","Pranab","Sarmah"
"Warburg Research Gmbh","Eggert","Kuls"
"OCBC Investment Research Pte Ltd","Kevin","Tan"
"Ohman Fondkommission","Johannes","Grunselius"
"Ohman Fondkommission","Thomas","Heath"
"Ohman Fondkommission","Oskar","Tuwesson"
"Mirabaud Securities","Julian","Lakin"
"Fondsfinans Asa","Petter","Narvestad"
"Renaissance Capital","David","Ferguson"
"Renaissance Capital","Natasha","Zagvozdina"
"Samsung Securities","Stefan","Chang"
"Samsung Securities","Paul","Wuh"
"FBR Capital Markets & Co.","Craig","Berger"
"FBR Capital Markets & Co.","Randy","Binner"
"FBR Capital Markets & Co.","Stephen","Chick"
"FBR Capital Markets & Co.","Marc","De Croisset"
"FBR Capital Markets & Co.","David","Dixon"
"FBR Capital Markets & Co.","Liz","Dunn"
"FBR Capital Markets & Co.","Doug","Garber"
"FBR Capital Markets & Co.","David","Hilal"
"FBR Capital Markets & Co.","Daniel","Ives"
"FBR Capital Markets & Co.","Newton","Juhng"
"FBR Capital Markets & Co.","Ajay","Kejriwal"
"FBR Capital Markets & Co.","David","Khani"
"FBR Capital Markets & Co.","Robert","Mackenzie"
"FBR Capital Markets & Co.","Patrick","Mccarthy"
"FBR Capital Markets & Co.","Paul","Miller"
"FBR Capital Markets & Co.","Bijan","Moazami"
"FBR Capital Markets & Co.","Sri","Nagarajan"
"FBR Capital Markets & Co.","Gabe","Poggi"
"FBR Capital Markets & Co.","Bob","Ramsey"
"FBR Capital Markets & Co.","Rehan","Rashid"
"FBR Capital Markets & Co.","Alex","Rygiel"
"FBR Capital Markets & Co.","Brett","Scheiner"
"FBR Capital Markets & Co.","C","Scholes"
"FBR Capital Markets & Co.","Ram","Shankar"
"FBR Capital Markets & Co.","Steve","Stelmach"
"FBR Capital Markets & Co.","Michael","Tarkan"
"FBR Capital Markets & Co.","David","Toti"
"FBR Capital Markets & Co.","Eric","Tracy"
"FBR Capital Markets & Co.","Scott","Valentin"
"Troika Dialog","Oleg","Maximov"
"Wilson HTM Securities","Shane","Storey"
"UOB Kay Hian","Tommy","Ho"
"UOB Kay Hian","Kang-Hee","Lee"
"UOB Kay Hian","Lawrence","Li"
"UOB Kay Hian","Jason","Yuan"
"Core Pacific-Yamaichi Int'l (H.K) Ltd.","Olive","Xia"
"Williams Capital Group, L.P.","Matthew","Coppola"
"Williams Capital Group, L.P.","Joseph","Naya"
"Williams Capital Group, L.P.","Marc","Riddick"
"Williams Capital Group, L.P.","Harry","Russell"
"Kepler Capital Markets","Tobias","Loskamp"
"Versant Partners, Inc.","Justin","Kew"
"Versant Partners, Inc.","Tom","Liston"
"Versant Partners, Inc.","Douglas","Loe"
"GMP Securities Ltd.","George","Albino"
"GMP Securities Ltd.","Sean","Barr"
"GMP Securities Ltd.","Stephen","Boland"
"GMP Securities Ltd.","David","Charles"
"GMP Securities Ltd.","Peter","Doig"
"GMP Securities Ltd.","Matt","Fernley"
"GMP Securities Ltd.","Sera","Kim"
"GMP Securities Ltd.","Peter","Macdonald"
"GMP Securities Ltd.","Stacey","Mcdonald"
"GMP Securities Ltd.","Peter","Nicol"
"GMP Securities Ltd.","Cosme","Ordonez"
"GMP Securities Ltd.","Toby","Pierce"
"GMP Securities Ltd.","Ryan","Savage"
"GMP Securities Ltd.","Jimmy","Shan"
"GMP Securities Ltd.","Michael","Urlocker"
"GMP Securities Ltd.","Craig","West"
"GMP Securities Ltd.","Justin","Wu"
"Cowen And Company","Christine","Arnold"
"Cowen And Company","Ziad","Bakri"
"Cowen And Company","John","Barton"
"Cowen And Company","Ken","Cacciatore"
"Cowen And Company","Laura","Champine"
"Cowen And Company","Doug","Creutz"
"Cowen And Company","Jim","Friedland"
"Cowen And Company","Peter","Goldmacher"
"Cowen And Company","Colin","Guheen"
"Cowen And Company","Matthew","Hoffman"
"Cowen And Company","Andrea","Jao"
"Cowen And Company","Moshe","Katri"
"Cowen And Company","John","Kernan"
"Cowen And Company","Gautam","Khanna"
"Cowen And Company","Chenyi","Lu"
"Cowen And Company","John","Marchetti"
"Cowen And Company","Gregg","Moskowitz"
"Cowen And Company","Phil","Nadeau"
"Cowen And Company","Anant","Padmanabhan"
"Cowen And Company","Ian","Sanderson"
"Cowen And Company","Steve","Scala"
"Cowen And Company","Doug","Schenkel"
"Cowen And Company","Eric","Schmidt"
"Cowen And Company","Raj","Seth"
"Cowen And Company","Simos","Simeonidis"
"Cowen And Company","Robert","Stone"
"Cowen And Company","James","Sullivan"
"Cowen And Company","Colby","Synesael"
"Cowen And Company","Cai","von Rumohr"
"Cowen And Company","Paul","Westra"
"Thinkequity Llc","Atul","Bagga"
"Thinkequity Llc","Christian","Buss"
"Thinkequity Llc","Robert","Coolbrith"
"Thinkequity Llc","Daniel","Cummins"
"Thinkequity Llc","Sujeeva","De Silva"
"Thinkequity Llc","Rajesh","Ghai"
"Thinkequity Llc","Sameer","Harish"
"Thinkequity Llc","Aaron","Kessler"
"Thinkequity Llc","Marko","Kozul"
"Thinkequity Llc","Mark","Mandel"
"Thinkequity Llc","Mark","Mckechnie"
"Thinkequity Llc","Colin","Rusch"
"Thinkequity Llc","Brian","Schwartz"
"Thinkequity Llc","Shawn","Severson"
"Thinkequity Llc","Krishna","Shankar"
"Thinkequity Llc","Ed","Weller"
"BofA Merrill Lynch","Vivek","Arya"
"BofA Merrill Lynch","David","Barden"
"BofA Merrill Lynch","Adam","Beatty"
"BofA Merrill Lynch","Douglas","Becker"
"BofA Merrill Lynch","Thomas","Besson"
"BofA Merrill Lynch","Kenneth","Bruce"
"BofA Merrill Lynch","Rhett","Bruno"
"BofA Merrill Lynch","Joseph","Buckley"
"BofA Merrill Lynch","Timothy","Bush"
"BofA Merrill Lynch","Steve","Byrne"
"BofA Merrill Lynch","Oscar","Cabrera"
"BofA Merrill Lynch","Glen","Campbell"
"BofA Merrill Lynch","Denise","Chai"
"BofA Merrill Lynch","Karen","Chan"
"BofA Merrill Lynch","Matthew","Chow"
"BofA Merrill Lynch","David","Chu"
"BofA Merrill Lynch","Jay","Cohen"
"BofA Merrill Lynch","Scott","Craig"
"BofA Merrill Lynch","M","Davitt"
"BofA Merrill Lynch","Mitesh","Dhruv"
"BofA Merrill Lynch","Andrew","Didora"
"BofA Merrill Lynch","Victor","Dima"
"BofA Merrill Lynch","Faye","Elliott"
"BofA Merrill Lynch","Jonathan","Ellis"
"BofA Merrill Lynch","Glenn","Engel"
"BofA Merrill Lynch","Ronald","Epstein"
"BofA Merrill Lynch","Christine","Farkas"
"BofA Merrill Lynch","James","Feldman"
"BofA Merrill Lynch","Mauricio","Fernandes"
"BofA Merrill Lynch","Christopher","Ferrara"
"BofA Merrill Lynch","Fernando","Ferreira"
"BofA Merrill Lynch","Kevin","Fischbeck"
"BofA Merrill Lynch","Steve","Fleishman"
"BofA Merrill Lynch","Gregory","Fraser"
"BofA Merrill Lynch","Wilton","Fry"
"BofA Merrill Lynch","Michael","Funk"
"BofA Merrill Lynch","Jana","Galan"
"BofA Merrill Lynch","Gregg","Gilbert"
"BofA Merrill Lynch","Bryan","Goldberg"
"BofA Merrill Lynch","Stephen","Gorenstein"
"BofA Merrill Lynch","Scott","Green"
"BofA Merrill Lynch","Sara","Gubins"
"BofA Merrill Lynch","Daniel","Heyler"
"BofA Merrill Lynch","Woo","Ho"
"BofA Merrill Lynch","Ken","Hoexter"
"BofA Merrill Lynch","Bob","Hopkins"
"BofA Merrill Lynch","Elana","Hordon Wood"
"BofA Merrill Lynch","Lorraine","Hutchinson"
"BofA Merrill Lynch","John","Inch"
"BofA Merrill Lynch","Alison","Jacobowitz"
"Hilliard Lyons","David","Burks"
"Hilliard Lyons","Ross","Demmerle"
"Hilliard Lyons","Joel","Havard"
"Hilliard Lyons","Carol","Kemple"
"Hilliard Lyons","James","Lykins"
"Hilliard Lyons","Stephen","O'Neil"
"Hilliard Lyons","John","Roberts"
"Hilliard Lyons","Jeffrey","Thomison"
"ABG Sundal Collier","Oyvind","Hagen"
"ABG Sundal Collier","Marius","Magelie"
"ABG Sundal Collier","Anders","Rosenlund"
"ABG Sundal Collier","Henrik","Vikstrom"
"ABG Sundal Collier","Ole","Westgaard"
"ABG Sundal Collier","Jesper","Wilgodt"
"DBS Vickers","Mavis","Hui"
"DBS Vickers","Eun","Lee"
"DBS Vickers","Rachel","Miu"
"DBS Vickers","Ben","Santoso"
"DBS Vickers","Andy","Sim"
"Howard Weil Inc.","Joseph","Bachmann"
"Howard Weil Inc.","Brian","Corales"
"Howard Weil Inc.","Blake","Fernandez"
"Howard Weil Inc.","Blake","Hutchinson"
"Howard Weil Inc.","Peter","Kissel"
"Howard Weil Inc.","William","Sanchez"
"Howard Weil Inc.","Holly","Stewart"
"Howard Weil Inc.","David","Wilson"
"Nord Landesbank","Thomas","Wybierek"
"Dolmen Securities","Oliver","Gilvarry"
"JMP Securities","Liisa","Bayko"
"JMP Securities","Jason","Butler"
"JMP Securities","Matthew","Carletti"
"JMP Securities","Trevor","Cranston"
"JMP Securities","Constantine","Davides"
"JMP Securities","Steven","Delaney"
"JMP Securities","Bryce","Dille"
"JMP Securities","Charles","Duncan"
"JMP Securities","Steven","Fu"
"JMP Securities","Alex","Gauna"
"JMP Securities","Mitch","Germain"
"JMP Securities","Jose","Haresco"
"JMP Securities","John","Hecht"
"JMP Securities","Liang","Hsu"
"JMP Securities","Douglas","Ireland"
"JMP Securities","Peter","Keith"
"JMP Securities","William","Marks"
"JMP Securities","Peter","Martin"
"JMP Securities","Greg","Mcdowell"
"JMP Securities","David","Scharf"
"JMP Securities","Michael","Smith"
"JMP Securities","David","Trone"
"JMP Securities","Patrick","Walravens"
"JMP Securities","James","Wilson"
"JMP Securities","Kevane","Wong"
"Janco Partners, Inc.","Mike","Hickey"
"Janco Partners, Inc.","April","Horace"
"Janco Partners, Inc.","Martin","Pyykkonen"
"Janco Partners, Inc.","Vijay","Singh"
"Johnson Rice & Company","Daniel","Burke"
"Johnson Rice & Company","William","Burns"
"Johnson Rice & Company","Kenneth","Carroll"
"Johnson Rice & Company","Jill","Caruthers"
"Johnson Rice & Company","Welles","Fitzpatrick"
"Johnson Rice & Company","Martin","Malloy"
"Johnson Rice & Company","David","Mann"
"Johnson Rice & Company","Ronald","Mills"
"Johnson Rice & Company","David","Smith"
"Kaufman Bros.","Ben","Abramovitz"
"Kaufman Bros.","Jeffrey","Bencik"
"Kaufman Bros.","Dawn","Brock"
"Kaufman Bros.","Michael","Burton"
"Kaufman Bros.","Sachin","Jain"
"Kaufman Bros.","Todd","Mitchell"
"Paradigm Capital Inc.","John","Bereznicki"
"Paradigm Capital Inc.","Don","Blyth"
"Paradigm Capital Inc.","Claude","Camire"
"Paradigm Capital Inc.","Spencer","Churchill"
"Paradigm Capital Inc.","David","Davidson"
"Paradigm Capital Inc.","Lyndon","Dunkley"
"Paradigm Capital Inc.","Corey","Hammill"
"Paradigm Capital Inc.","Mark","Heim"
"Paradigm Capital Inc.","Daniel","Kim"
"Paradigm Capital Inc.","Gabriel","Leung"
"Paradigm Capital Inc.","Ken","Lin"
"Paradigm Capital Inc.","Don","Maclean"
"Paradigm Capital Inc.","Barry","Richards"
"Paradigm Capital Inc.","Alan","Ridgeway"
"Paradigm Capital Inc.","Marvin","Wolff"
"Kempen & Co","Erwin","Dut"
"Kempen & Co","Sander","Van Oort"
"BofA Merrill Lynch","Michael","Jalonen"
"BofA Merrill Lynch","Mariya","Kahn"
"BofA Merrill Lynch","Anna","Kaminskaya"
"BofA Merrill Lynch","Alex","Kania"
"BofA Merrill Lynch","Ivan","Karachinsky"
"BofA Merrill Lynch","Shaun","Kelley"
"BofA Merrill Lynch","Lennox","Ketner"
"BofA Merrill Lynch","James","Kissane"
"BofA Merrill Lynch","Sumant","Kulkarni"
"BofA Merrill Lynch","Doug","Leggate"
"BofA Merrill Lynch","Eddie","Leung"
"BofA Merrill Lynch","Chris","Li"
"BofA Merrill Lynch","Michael","Li"
"BofA Merrill Lynch","Daniel","Lian"
"BofA Merrill Lynch","Tal","Liani"
"BofA Merrill Lynch","John","Lovallo"
"BofA Merrill Lynch","Chen","Luo"
"BofA Merrill Lynch","Cynthia","Mayer"
"BofA Merrill Lynch","Kevin","Mccarthy"
"BofA Merrill Lynch","Rachel","Mcminn"
"BofA Merrill Lynch","Georgios","Mihalos"
"BofA Merrill Lynch","Steven","Milunovich"
"BofA Merrill Lynch","Wamsi","Mohan"
"BofA Merrill Lynch","Gabe","Moreen"
"BofA Merrill Lynch","Guy","Moszkowski"
"BofA Merrill Lynch","John","Murphy"
"BofA Merrill Lynch","Billy","Ng"
"BofA Merrill Lynch","Andrew","Obin"
"BofA Merrill Lynch","Robert","Ohmes"
"BofA Merrill Lynch","Ryan","Oksenhendler"
"BofA Merrill Lynch","Mike","Parkin"
"BofA Merrill Lynch","Rick","Patel"
"BofA Merrill Lynch","Leanne","Penala"
"BofA Merrill Lynch","Justin","Post"
"BofA Merrill Lynch","Matthew","Prior"
"BofA Merrill Lynch","Kash","Rangan"
"BofA Merrill Lynch","Jessica","Reif Cohen"
"BofA Merrill Lynch","David","Ridley-Lane"
"BofA Merrill Lynch","Michael","Roxland"
"BofA Merrill Lynch","Krish","Sankar"
"BofA Merrill Lynch","Nat","Schindler"
"BofA Merrill Lynch","Craig","Schmidt"
"BofA Merrill Lynch","Lindsay","Schroll"
"BofA Merrill Lynch","David","Silver"
"BofA Merrill Lynch","Vincent","Sinisi"
"BofA Merrill Lynch","Jeffrey","Spector"
"BofA Merrill Lynch","Edward","Spehar"
"BofA Merrill Lynch","Bryan","Spillane"
"BofA Merrill Lynch","George","Staphos"
"BofA Merrill Lynch","Ameet","Thakkar"
"Lazard Capital Markets","Daniel","Amir"
"Lazard Capital Markets","James","Ballan"
"Lazard Capital Markets","William","Bird"
"Lazard Capital Markets","Patrick","Clingan"
"Lazard Capital Markets","Barton","Crockett"
"Lazard Capital Markets","Jennifer","Davis"
"Lazard Capital Markets","Urs","Dur"
"Lazard Capital Markets","Joel","Fishbein"
"Lazard Capital Markets","Jake","Fuller"
"Lazard Capital Markets","Tom","Gallucci"
"Lazard Capital Markets","Eric","Hagen"
"Lazard Capital Markets","Ryan","Hutchinson"
"Lazard Capital Markets","Brian","Klein"
"Lazard Capital Markets","Colleen","Lang"
"Lazard Capital Markets","Sean","Lavin"
"Lazard Capital Markets","Michael","Lewis"
"Lazard Capital Markets","Graham","Mattison"
"Lazard Capital Markets","David","Parker"
"Lazard Capital Markets","Joel","Sendek"
"Lazard Capital Markets","Sanjay","Shrestha"
"Lazard Capital Markets","William","Tanner"
"Lazard Capital Markets","Stephen","Unger"
"National Bank Financial","Hugues","Bourgeois"
"National Bank Financial","Cameron","Doerksen"
"National Bank Financial","Tara","Hassan"
"National Bank Financial","Grant","Hofer"
"National Bank Financial","Trevor","Johnson"
"National Bank Financial","Patrick","Kenny"
"National Bank Financial","Heather","Kirk"
"National Bank Financial","Rupert","Merer"
"National Bank Financial","Dan","Payne"
"National Bank Financial","Adam","Shine"
"National Bank Financial","Kris","Thompson"
"Loewen, Ondaatje, Mccutcheon","Michael","Fowler"
"Rodman & Renshaw Llc","Reni","Benjamin"
"Rodman & Renshaw Llc","Amit","Dayal"
"Rodman & Renshaw Llc","Lewis","Fan"
"Rodman & Renshaw Llc","Jeffrey","Hayden"
"Rodman & Renshaw Llc","Michael","Higgins"
"Rodman & Renshaw Llc","Suraj","Kalia"
"Rodman & Renshaw Llc","Ashok","Kumar"
"Rodman & Renshaw Llc","Michael","Legg"
"Rodman & Renshaw Llc","Chad","Mabry"
"Rodman & Renshaw Llc","Yigal","Nochomovitz"
"Rodman & Renshaw Llc","Boris","Peaker"
"Rodman & Renshaw Llc","Elemer","Piros"
"Rodman & Renshaw Llc","Douglas","Rainwater"
"Rodman & Renshaw Llc","Michael","Rindos"
"Rodman & Renshaw Llc","Katya","Voronchuk"
"Rodman & Renshaw Llc","Joy","Wang"
"BofA Merrill Lynch","Steve","Theriault"
"BofA Merrill Lynch","Paul","Thomas"
"BofA Merrill Lynch","Olivia","Tong"
"BofA Merrill Lynch","Shaojing","Tong"
"BofA Merrill Lynch","Helena","Tse"
"BofA Merrill Lynch","Chao","Wang"
"BofA Merrill Lynch","Robert","Willoughby"
"BofA Merrill Lynch","Simon","Woo"
"BofA Merrill Lynch","Gil","Yang"
"BofA Merrill Lynch","Aleksey","Yefremov"
"BofA Merrill Lynch","Vincent","Zahn"
"Scotia Capital","Patricia","Baker"
"Scotia Capital","Pammi","Bir"
"Scotia Capital","Jason","Bouvier"
"Scotia Capital","Patrick","Bryden"
"Scotia Capital","Kevin","Choquette"
"Scotia Capital","David","Christie"
"Scotia Capital","Tony","Courtright"
"Scotia Capital","Jeff","Fan"
"Scotia Capital","Neil","Forster"
"Scotia Capital","Phil","Hardie"
