FirmName, Analyst F Name, Analyst L Name
"Crowell, Weedon & Co.","James","Ragan"
"Crowell, Weedon & Co.","Scott","Swanson"
"Roth Capital Partners LLC","Anton","Brenner"
"Roth Capital Partners LLC","Arnab","Chanda"
"Roth Capital Partners LLC","Matt","Dolan"
"Roth Capital Partners LLC","Todd","Eilers"
"Roth Capital Partners LLC","David","Griffith"
"Roth Capital Partners LLC","Scott","Henry"
"Roth Capital Partners LLC","Richard","Hoss"
"Roth Capital Partners LLC","Richard","Ingrassia"
"Roth Capital Partners LLC","Adam","Krejcik"
"Roth Capital Partners LLC","Jeff","Martin"
"Roth Capital Partners LLC","David","Moskowitz"
"Roth Capital Partners LLC","Joseph","Pantginis"
"Roth Capital Partners LLC","Elizabeth","Pierce"
"Roth Capital Partners LLC","Matthew","Pommer"
"Roth Capital Partners LLC","Quinn","Ruddick"
"Roth Capital Partners LLC","Nathan","Schneiderman"
"Roth Capital Partners LLC","Jared","Schramm"
"Roth Capital Partners LLC","Philip","Shen"
"Roth Capital Partners LLC","Kun","Tao"
"Roth Capital Partners LLC","Mark","Tobin"
"Roth Capital Partners LLC","Andrew","Vaino"
"Roth Capital Partners LLC","Howard","Zhou"
"Credit Suisse","Randy","Abrams"
"Credit Suisse","Stefan","Anninger"
"Credit Suisse","Catherine","Arnold"
"Credit Suisse","Gary","Balter"
"Credit Suisse","Chase","Becker"
"Credit Suisse","John","Blackledge"
"Credit Suisse","Charles","Boorady"
"Credit Suisse","Andrew","Campbell"
"Credit Suisse","Christopher","Ceraso"
"Credit Suisse","Gabriel","Chan"
"Credit Suisse","Jonathan","Chaplin"
"Credit Suisse","Howard","Chen"
"Credit Suisse","Wallace","Cheung"
"Credit Suisse","Jamie","Cook"
"Credit Suisse","Gregory","Dunham"
"Credit Suisse","Brian","Dutton"
"Credit Suisse","Dan","Eggers"
"Credit Suisse","Michael","Exstein"
"Credit Suisse","Michael","Faerm"
"Credit Suisse","Kelly","Flynn"
"Credit Suisse","Jason","Frew"
"Credit Suisse","Rogerio","Fujimori"
"Credit Suisse","David","Gagliano"
"Credit Suisse","Thomas","Gallagher"
"Credit Suisse","Kulbinder","Garcha"
"Credit Suisse","Richard","Garchitorena"
"Credit Suisse","Ralph","Giacobbe"
"Credit Suisse","Saul","Hadassin"
"Credit Suisse","Brad","Handler"
"Credit Suisse","Vivian","Hao"
"Credit Suisse","Douglas","Harter"
"Credit Suisse","Arun","Jayaram"
"Credit Suisse","Sheila","Kahyaoglu"
"Credit Suisse","Bryan","Keane"
"Credit Suisse","Edward","Kelly"
"Credit Suisse","Emily","Klingbeil"
"Credit Suisse","Satya","Kumar"
"Credit Suisse","Andrew","Kuske"
"Credit Suisse","Carlos","Laboy"
"Credit Suisse","Allison","Landry"
"Credit Suisse","Kenny","Lau"
"Credit Suisse","Mark","Lear"
"Credit Suisse","Winston","Lee"
"Credit Suisse","Gregory","Lewis"
"Credit Suisse","Victoria","Li"
"Credit Suisse","Tao","Ly"
"Credit Suisse","Jolanta","Masojada"
"Credit Suisse","Hamzah","Mazari"
"Credit Suisse","John","Mcnulty"
"Credit Suisse","Ravi","Mehrotra"
"Credit Suisse","Julian","Mitchell"
"Credit Suisse","Colin","Moore"
"Credit Suisse","Robert","Moskow"
"Credit Suisse","Daniel","Oppenheim"
"Credit Suisse","Moshe","Orenbuch"
"Credit Suisse","Anish","Patel"
"Credit Suisse","John","Pitzer"
"Credit Suisse","Ralph","Profiti"
"Credit Suisse","Andrew","Rosivach"
"Credit Suisse","Glen","Santangelo"
"Credit Suisse","Elvira","Scotto"
"Credit Suisse","Paul","Sidney"
"Credit Suisse","Yves","Siegel"
"Credit Suisse","Craig","Siegenthaler"
"Credit Suisse","Keith","Siegner"
"Credit Suisse","Paul","Silverstein"
"Credit Suisse","Joel","Simkins"
"Credit Suisse","Deepak","Sitaraman"
"Credit Suisse","Anita","Soni"
"Credit Suisse","Robert","Spingarn"
"Credit Suisse","William","Stein"
"Credit Suisse","Alex","Terentiew"
"Credit Suisse","Phoebe","Tse"
"Credit Suisse","Eva","Wang"
"Credit Suisse","Spencer","Wang"
"Credit Suisse","Edward","Westlake"
"Credit Suisse","Philip","Winslow"
"Credit Suisse","Jonathan","Wolff"
"Credit Suisse","Elaine","Yip"
"Credit Suisse","Michael","Zaremski"
"Danske Markets","Erik","Berglund"
"Danske Markets","Jan","Bjerkeheim"
"Danske Markets","Bile","Daar"
"Danske Markets","Jo","Eriksen"
"Danske Markets","Carl","Holmquist"
"Danske Markets","Poul","Jessen"
"Danske Markets","Martin","Stenshall"
